,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0001503,GO:0001503,GO:0001503,ossification,47/891,388/17913,1.55E-08,1.45E-06,1.20E-06,MMP13/PTGS2/BMP2/STC1/CYP24A1/BMP7/PTHLH/CTSK/S1PR1/HAND2/ATP6V1B1/BMP4/BMP6/MDK/TMEM38B/SFRP1/GPNMB/CEBPB/SMPD3/IARS/FGFR2/SPARC/FBXO5/GLI2/FSTL3/BMPR1B/COL1A1/SLC8A1/VCAN/ENPP1/ID4/XYLT1/GLI1/TEK/MN1/RASSF2/SCX/IGFBP3/ITGA11/SEMA7A/GDF10/MMP9/OMD/COL11A1/COMP/WNT4/ASPN,47,0,,
GO:0071103,GO:0071103,GO:0071103,DNA conformation change,38/891,279/17913,1.66E-08,1.53E-06,1.27E-06,TREX1/CENPL/RECQL/FANCM/HMGB2/RAD54B/NCAPD3/SMC2/CHAF1A/RAD51/CHAF1B/CENPO/HELLS/SMC4/BLM/ASF1B/GINS1/NCAPG2/CENPH/GINS4/CENPK/CDC45/CENPI/NAP1L3/CENPM/BRIP1/CENPN/CDCA5/CDK1/CENPU/NUSAP1/OIP5/CCNB1/NCAPH/NCAPG/CENPA/HJURP/TOP2A,38,0,,
GO:0051985,GO:0051985,GO:0051985,negative regulation of chromosome segregation,13/891,38/17913,1.78E-08,1.61E-06,1.33E-06,FBXO5/CDT1/ESPL1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,13,0,,
GO:0045841,GO:0045841,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,12/891,32/17913,1.91E-08,1.68E-06,1.38E-06,FBXO5/CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,12,0,,
GO:2000816,GO:2000816,GO:2000816,negative regulation of mitotic sister chromatid separation,12/891,32/17913,1.91E-08,1.68E-06,1.38E-06,FBXO5/CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,12,0,,
GO:1902100,GO:1902100,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,12/891,33/17913,2.87E-08,2.43E-06,2.01E-06,FBXO5/CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,12,0,,
GO:1905819,GO:1905819,GO:1905819,negative regulation of chromosome separation,12/891,33/17913,2.87E-08,2.43E-06,2.01E-06,FBXO5/CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,12,0,,
GO:0001822,GO:0001822,GO:0001822,kidney development,37/891,276/17913,3.90E-08,3.25E-06,2.68E-06,BMP2/KLF15/PGF/AGT/BMP7/TACSTD2/ADAMTS1/BMP4/BMP6/AKR1B1/BCL2L11/DLL1/TREX1/SFRP1/CTSH/DCN/KIF26B/FGF1/GCNT4/FGFR2/KIRREL3/GLI2/FSTL3/SULF1/PODXL/FBN1/POU3F3/COL4A4/TEK/ACTA2/SERPINB7/CENPF/CRLF1/MMP9/SDC1/LIF/WNT4,37,0,,
GO:0045931,GO:0045931,GO:0045931,positive regulation of mitotic cell cycle,26/891,154/17913,4.11E-08,3.37E-06,2.78E-06,MIR221/ADAMTS1/PLCB1/SMPD3/EIF4EBP1/CDC7/FBXO5/DBF4B/CDT1/MTBP/ESPL1/DTL/BRCA2/EGF/MAD2L1/CDC6/CDCA5/ASNS/CDK1/NUSAP1/KIF20B/CCNB1/UBE2C/AURKA/NDC80/DLGAP5,26,0,,
GO:1901989,GO:1901989,GO:1901989,positive regulation of cell cycle phase transition,20/891,97/17913,4.98E-08,4.00E-06,3.30E-06,MIR221/ADAMTS1/PLCB1/EZH2/CDC7/ATAD5/FBXO5/DBF4B/CDT1/MTBP/ESPL1/DTL/GLI1/CDC6/CDCA5/CDK1/CCNB1/UBE2C/FAM83D/DLGAP5,20,0,,
GO:0007080,GO:0007080,GO:0007080,mitotic metaphase plate congression,13/891,41/17913,5.03E-08,4.00E-06,3.30E-06,PSRC1/CDT1/KIF22/CDCA5/KIF2C/SPDL1/CCNB1/CDCA8/KIFC1/CENPE/KIF18A/KIF14/NDC80,13,0,,
GO:0033048,GO:0033048,GO:0033048,negative regulation of mitotic sister chromatid segregation,12/891,35/17913,6.15E-08,4.81E-06,3.97E-06,FBXO5/CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,12,0,,
GO:0000910,GO:0000910,GO:0000910,cytokinesis,25/891,147/17913,6.44E-08,4.96E-06,4.09E-06,NOX5/RAB11FIP4/SPIRE2/FMN2/INCENP/ECT2/ESPL1/E2F7/RACGAP1/BRCA2/CKAP2/CDC6/KIF23/AURKB/PLK1/NUSAP1/E2F8/KIF20B/CEP55/ANLN/KIF4A/PRC1/CENPA/KIF14/KIF20A,25,0,,
GO:0008608,GO:0008608,GO:0008608,attachment of spindle microtubules to kinetochore,11/891,29/17913,6.57E-08,4.99E-06,4.12E-06,ECT2/KNSTRN/CDT1/RACGAP1/SPAG5/AURKB/KIF2C/CCNB1/CENPE/NEK2/NDC80,11,0,,
GO:0010948,GO:0010948,GO:0010948,negative regulation of cell cycle process,42/891,344/17913,7.23E-08,5.41E-06,4.46E-06,EVI2B/BMP7/BMP4/GPNMB/RBBP8/JADE1/EZH2/TICRR/CDC7/FBXO5/RAD51/CCNF/E2F1/CDT1/MTBP/BLM/BRCA1/ESPL1/DTL/E2F7/SUSD2/MAD2L1/RRM2/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/CLSPN/CDC20/CDC25C/AURKA/NEK2/TTK/LIF/GTSE1/DACT1/NDC80/MIR503,42,0,,
GO:0007094,GO:0007094,GO:0007094,mitotic spindle assembly checkpoint,11/891,30/17913,9.91E-08,7.00E-06,5.78E-06,CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,11,0,,
GO:0031577,GO:0031577,GO:0031577,spindle checkpoint,11/891,30/17913,9.91E-08,7.00E-06,5.78E-06,CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,11,0,,
GO:0071173,GO:0071173,GO:0071173,spindle assembly checkpoint,11/891,30/17913,9.91E-08,7.00E-06,5.78E-06,CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,11,0,,
GO:0071174,GO:0071174,GO:0071174,mitotic spindle checkpoint,11/891,30/17913,9.91E-08,7.00E-06,5.78E-06,CDT1/MAD2L1/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/TTK/NDC80,11,0,,
GO:0048608,GO:0048608,GO:0048608,reproductive structure development,48/891,426/17913,1.05E-07,7.31E-06,6.03E-06,VGF/RSPO3/PTGS2/CYP19A1/NR0B1/GJB2/STC1/BMP7/ADAMTS1/BMP4/BMP6/BCL2L11/SFRP1/TFAP2C/CEBPB/SOCS3/DCN/GNRH1/RRM1/HMGB2/FGFR2/MAMLD1/ADAM19/GATA6/GLI2/FSTL3/CCNF/SULF1/SPP1/BMPR1B/FANCA/ID4/E2F7/BRCA2/MDFI/GLI1/INHBA/BRIP1/WNT2/PLK4/SCX/E2F8/KIF18A/SDC1/LIF/ASPM/SPINT2/WNT4,48,0,,
GO:0006275,GO:0006275,GO:0006275,regulation of DNA replication,20/891,102/17913,1.20E-07,8.25E-06,6.81E-06,UCN/GMNN/TICRR/CDC7/ATAD5/FBXO5/GLI2/DBF4B/CDT1/RFC3/BLM/E2F7/BRCA2/GLI1/CDC6/CDK1/CCNA2/ZNF365/ESCO2/E2F8,20,0,,
GO:0061458,GO:0061458,GO:0061458,reproductive system development,48/891,429/17913,1.30E-07,8.81E-06,7.27E-06,VGF/RSPO3/PTGS2/CYP19A1/NR0B1/GJB2/STC1/BMP7/ADAMTS1/BMP4/BMP6/BCL2L11/SFRP1/TFAP2C/CEBPB/SOCS3/DCN/GNRH1/RRM1/HMGB2/FGFR2/MAMLD1/ADAM19/GATA6/GLI2/FSTL3/CCNF/SULF1/SPP1/BMPR1B/FANCA/ID4/E2F7/BRCA2/MDFI/GLI1/INHBA/BRIP1/WNT2/PLK4/SCX/E2F8/KIF18A/SDC1/LIF/ASPM/SPINT2/WNT4,48,0,,
GO:0031214,GO:0031214,GO:0031214,biomineral tissue development,25/891,154/17913,1.64E-07,1.10E-05,9.05E-06,MMP13/PTGS2/BMP2/BMP7/PTHLH/FAM20A/S1PR1/BMP4/BMP6/TMEM38B/GPNMB/CEBPB/SMPD3/FGFR2/FBXO5/SPP1/BMPR1B/COL1A1/SLC8A1/ENPP1/OMD/COMP/WNT4/ASPN/KLK4,25,0,,
GO:0030261,GO:0030261,GO:0030261,chromosome condensation,11/891,32/17913,2.14E-07,1.41E-05,1.16E-05,NCAPD3/SMC2/SMC4/NCAPG2/CDCA5/CDK1/NUSAP1/CCNB1/NCAPH/NCAPG/TOP2A,11,0,,
GO:0034508,GO:0034508,GO:0034508,centromere complex assembly,14/891,54/17913,2.59E-07,1.68E-05,1.39E-05,CENPL/CENPO/HELLS/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/CENPF/OIP5/CENPE/CENPA/HJURP,14,0,,
GO:0071459,GO:0071459,GO:0071459,"protein localization to chromosome, centromeric region",9/891,21/17913,3.06E-07,1.97E-05,1.63E-05,CDT1/MTBP/AURKB/CDK1/SPDL1/CENPA/TTK/NDC80/BUB1B,9,0,,
GO:0006323,GO:0006323,GO:0006323,DNA packaging,28/891,194/17913,3.81E-07,2.42E-05,2.00E-05,CENPL/HMGB2/NCAPD3/SMC2/CHAF1A/CHAF1B/CENPO/HELLS/SMC4/ASF1B/NCAPG2/CENPH/CENPK/CENPI/NAP1L3/CENPM/CENPN/CDCA5/CDK1/CENPU/NUSAP1/OIP5/CCNB1/NCAPH/NCAPG/CENPA/HJURP/TOP2A,28,0,,
GO:0006261,GO:0006261,GO:0006261,DNA-dependent DNA replication,22/891,130/17913,4.29E-07,2.69E-05,2.22E-05,FANCM/GMNN/TICRR/PRIM1/MCM5/CDC7/ATAD5/FBXO5/RAD51/FEN1/POLE2/DBF4B/CDT1/RFC3/BLM/GINS1/E2F7/BRCA2/GINS4/CDC6/ZNF365/E2F8,22,0,,
GO:0044786,GO:0044786,GO:0044786,cell cycle DNA replication,14/891,57/17913,5.33E-07,3.31E-05,2.73E-05,GMNN/PRIM1/CDC7/ATAD5/FBXO5/RAD51/FEN1/POLE2/DBF4B/CDT1/RFC3/E2F7/BRCA2/E2F8,14,0,,
GO:0000083,GO:0000083,GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,10/891,29/17913,7.44E-07,4.55E-05,3.76E-05,DHFR/FBXO5/ORC1/E2F1/TYMS/CDT1/E2F7/CDC45/CDC6/RRM2,10,0,,
GO:0061138,GO:0061138,GO:0061138,morphogenesis of a branching epithelium,26/891,178/17913,7.81E-07,4.73E-05,3.90E-05,RSPO3/DLL4/BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/MDK/SFRP1/CTSH/LAMA1/SOCS3/FGF1/TIMELESS/FGFR2/CELSR1/GLI2/SULF1/SEMA3C/MET/EGF/WNT2/TGM2/SPINT2/WNT4,26,0,,
GO:0051782,GO:0051782,GO:0051782,negative regulation of cell division,8/891,18/17913,1.02E-06,6.08E-05,5.02E-05,TXNIP/BLM/E2F7/SUSD2/ORC6/AURKB/E2F8/ASPM,8,0,,
GO:0000281,GO:0000281,GO:0000281,mitotic cytokinesis,15/891,69/17913,1.14E-06,6.76E-05,5.58E-05,INCENP/ECT2/ESPL1/RACGAP1/BRCA2/CKAP2/KIF23/PLK1/NUSAP1/KIF20B/CEP55/ANLN/KIF4A/CENPA/KIF20A,15,0,,
GO:0001501,GO:0001501,GO:0001501,skeletal system development,49/891,479/17913,1.40E-06,8.18E-05,6.75E-05,CHI3L1/MMP13/BMP2/STC1/ACP5/BMP7/PTHLH/CTSK/SCIN/HAND2/BMP4/BMP6/TNFRSF11B/JAG2/MDK/TMEM38B/SFRP1/HOXA13/ETS2/SMPD3/FGFR2/NFIB/SPARC/GLI2/TGFBI/ADAMTS4/SULF1/TYMS/BMPR1B/COL1A1/FBN1/POC1A/XYLT1/MDFI/TEK/FREM1/GDF6/RASSF2/SCX/MATN3/LRRC17/GDF10/MMP9/SFRP4/EXTL1/PAPPA2/COL10A1/COL11A1/COMP,49,0,,
GO:0030282,GO:0030282,GO:0030282,bone mineralization,19/891,108/17913,1.42E-06,8.20E-05,6.76E-05,MMP13/PTGS2/BMP2/BMP7/PTHLH/S1PR1/BMP4/BMP6/TMEM38B/GPNMB/SMPD3/FGFR2/BMPR1B/SLC8A1/ENPP1/OMD/COMP/WNT4/ASPN,19,0,,
GO:0031055,GO:0031055,GO:0031055,chromatin remodeling at centromere,12/891,46/17913,1.73E-06,9.88E-05,8.15E-05,CENPL/CENPO/HELLS/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,12,0,,
GO:0051225,GO:0051225,GO:0051225,spindle assembly,17/891,90/17913,1.82E-06,0.000102891,8.49E-05,HSPA1A/FBXO5/NEK7/RACGAP1/KIF23/SPAG5/AURKB/MYBL2/PLK1/KIF11/TPX2/CDC20/KIFC1/AURKA/NEK2/KIF4A/ASPM,17,0,,
GO:1901992,GO:1901992,GO:1901992,positive regulation of mitotic cell cycle phase transition,16/891,82/17913,2.33E-06,0.000130268,0.000107504,MIR221/ADAMTS1/PLCB1/CDC7/FBXO5/DBF4B/CDT1/MTBP/ESPL1/DTL/CDC6/CDCA5/CDK1/CCNB1/UBE2C/DLGAP5,16,0,,
GO:0090329,GO:0090329,GO:0090329,regulation of DNA-dependent DNA replication,12/891,48/17913,2.82E-06,0.000156034,0.000128767,GMNN/TICRR/CDC7/FBXO5/DBF4B/CDT1/RFC3/BLM/E2F7/BRCA2/ZNF365/E2F8,12,0,,
GO:0007076,GO:0007076,GO:0007076,mitotic chromosome condensation,7/891,15/17913,3.33E-06,0.000180334,0.000148821,NCAPD3/SMC2/SMC4/CDCA5/NUSAP1/NCAPH/NCAPG,7,0,,
GO:0001763,GO:0001763,GO:0001763,morphogenesis of a branching structure,26/891,192/17913,3.33E-06,0.000180334,0.000148821,RSPO3/DLL4/BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/MDK/SFRP1/CTSH/LAMA1/SOCS3/FGF1/TIMELESS/FGFR2/CELSR1/GLI2/SULF1/SEMA3C/MET/EGF/WNT2/TGM2/SPINT2/WNT4,26,0,,
GO:0051653,GO:0051653,GO:0051653,spindle localization,11/891,41/17913,3.47E-06,0.00018543,0.000153026,SPIRE2/FMN2/ESPL1/MAD2L1/PLK1/NUSAP1/SPDL1/CENPA/NDC80/ASPM/SAPCD2,11,0,,
GO:0051216,GO:0051216,GO:0051216,cartilage development,25/891,182/17913,3.95E-06,0.000209372,0.000172784,CHI3L1/MMP13/BMP2/STC1/BMP7/PTHLH/CTSK/SCIN/HAND2/BMP4/BMP6/MDK/SMPD3/NFIB/GLI2/TGFBI/SULF1/TYMS/BMPR1B/COL1A1/POC1A/GDF6/SCX/COL11A1/COMP,25,0,,
GO:0033002,GO:0033002,GO:0033002,muscle cell proliferation,30/891,243/17913,4.19E-06,0.000217481,0.000179476,HTR1B/PTGS2/MIR221/AGT/MIR17HG/HMOX1/PPARGC1A/S1PR1/ADAMTS1/BMP4/NR4A3/AKR1B1/SMPD3/FGFR2/PIM1/GATA6/TENM4/PDE1A/GLI1/TPM1/WNT2/CNN1/CDK1/IGFBP3/CCNB1/TGM2/MMP9/MIR503/HBEGF/ELN,30,0,,
GO:0061448,GO:0061448,GO:0061448,connective tissue development,30/891,243/17913,4.19E-06,0.000217481,0.000179476,CHI3L1/MMP13/BMP2/STC1/BMP7/PTHLH/CTSK/PPARGC1A/SCIN/HAND2/BMP4/BMP6/MDK/SMPD3/NFIB/GLI2/TGFBI/SULF1/TYMS/BMPR1B/COL1A1/POC1A/ID4/COL5A1/ACTA2/SERPINB7/GDF6/SCX/COL11A1/COMP,30,1,,
GO:0034080,GO:0034080,GO:0034080,CENP-A containing nucleosome assembly,11/891,42/17913,4.49E-06,0.000228013,0.000188167,CENPL/CENPO/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,11,0,,
GO:0061641,GO:0061641,GO:0061641,CENP-A containing chromatin organization,11/891,42/17913,4.49E-06,0.000228013,0.000188167,CENPL/CENPO/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,11,0,,
GO:0045930,GO:0045930,GO:0045930,negative regulation of mitotic cell cycle,35/891,308/17913,4.60E-06,0.000231718,0.000191225,BMP7/BMP4/GPNMB/JADE1/EZH2/TICRR/KNTC1/FBXO5/E2F1/CDT1/MTBP/BLM/BRCA1/ZWILCH/E2F7/MAD2L1/ZWINT/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/CLSPN/CDC20/CDC25C/AURKA/BUB1/TTK/GTSE1/DACT1/NDC80/BUB1B,35,0,,
GO:0045740,GO:0045740,GO:0045740,positive regulation of DNA replication,10/891,35/17913,5.19E-06,0.000258702,0.000213493,UCN/CDC7/ATAD5/GLI2/DBF4B/CDT1/E2F7/GLI1/CDK1/E2F8,10,0,,
GO:0002062,GO:0002062,GO:0002062,chondrocyte differentiation,17/891,97/17913,5.31E-06,0.000262095,0.000216293,BMP2/PTHLH/SCIN/BMP4/BMP6/MDK/SMPD3/NFIB/GLI2/TGFBI/SULF1/BMPR1B/POC1A/GDF6/SCX/COL11A1/COMP,17,0,,
GO:0034501,GO:0034501,GO:0034501,protein localization to kinetochore,7/891,16/17913,5.67E-06,0.000277081,0.000228661,CDT1/MTBP/AURKB/CDK1/SPDL1/TTK/NDC80,7,0,,
GO:0051656,GO:0051656,GO:0051656,establishment of organelle localization,45/891,448/17913,6.07E-06,0.000293764,0.000242428,HAP1/HTR1B/GEM/LGALS9/RIMS2/CACNB2/HMOX1/VAMP8/APBA2/NR4A3/ADCY1/SPIRE2/NTN1/FMN2/DYNC1I1/EZR/DGKI/PSRC1/CDT1/KIF22/HTR2A/DRD1/SHROOM2/SYNE2/ESPL1/MAD2L1/CDCA5/KIF23/SPAG5/PLK1/KIF2C/NUSAP1/SPDL1/CENPF/CCNB1/CDCA8/KIFC1/CENPE/KIF18A/FAM83D/CENPA/KIF14/NDC80/DLGAP5/SAPCD2,45,0,,
GO:0051293,GO:0051293,GO:0051293,establishment of spindle localization,10/891,36/17913,6.87E-06,0.000329409,0.000271845,SPIRE2/FMN2/ESPL1/MAD2L1/PLK1/NUSAP1/SPDL1/CENPA/NDC80/SAPCD2,10,0,,
GO:0007292,GO:0007292,GO:0007292,female gamete generation,20/891,132/17913,8.20E-06,0.000388822,0.000320874,PTGS2/ADAMTS1/SPIRE2/ZGLP1/MDK/FMN2/FBXO5/BMPR1B/BRCA2/INHBA/PLK1/TRIP13/CCNB1/NCAPH/AURKA/TTK/TOP2A/LGR5/ASPM/WNT4,20,0,,
GO:0060349,GO:0060349,GO:0060349,bone morphogenesis,16/891,90/17913,8.26E-06,0.000388822,0.000320874,MMP13/STC1/ACP5/BMP4/BMP6/SMPD3/FGFR2/BMPR1B/COL1A1/POC1A/TEK/FREM1/SCX/SFRP4/PAPPA2/COMP,16,0,,
GO:0006336,GO:0006336,GO:0006336,DNA replication-independent nucleosome assembly,12/891,53/17913,8.60E-06,0.00039724,0.000327821,CENPL/CENPO/ASF1B/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,12,0,,
GO:0034724,GO:0034724,GO:0034724,DNA replication-independent nucleosome organization,12/891,53/17913,8.60E-06,0.00039724,0.000327821,CENPL/CENPO/ASF1B/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,12,0,,
GO:0007143,GO:0007143,GO:0007143,female meiotic nuclear division,9/891,30/17913,9.94E-06,0.000453787,0.000374487,SPIRE2/FMN2/FBXO5/PLK1/TRIP13/NCAPH/AURKA/TTK/TOP2A,9,0,,
GO:0007098,GO:0007098,GO:0007098,centrosome cycle,18/891,112/17913,1.00E-05,0.000453787,0.000374487,CEP152/CEP85/CENPJ/SASS6/CEP72/CCNF/XRCC2/BRCA1/POC1A/BRCA2/STIL/PLK4/WDR62/CDK1/PLK1/KIF11/AURKA/NEK2,18,0,,
GO:1901988,GO:1901988,GO:1901988,negative regulation of cell cycle phase transition,30/891,254/17913,1.02E-05,0.000459325,0.000379057,GPNMB/JADE1/EZH2/TICRR/FBXO5/E2F1/CDT1/BLM/BRCA1/DTL/E2F7/SUSD2/MAD2L1/AURKB/CDK1/PLK1/TRIP13/SPDL1/E2F8/CENPF/CCNB1/CLSPN/CDC20/CDC25C/AURKA/TTK/GTSE1/DACT1/NDC80/MIR503,30,0,,
GO:0051988,GO:0051988,GO:0051988,regulation of attachment of spindle microtubules to kinetochore,6/891,12/17913,1.06E-05,0.000469733,0.000387647,ECT2/KNSTRN/RACGAP1/SPAG5/CCNB1/NEK2,6,0,,
GO:0060707,GO:0060707,GO:0060707,trophoblast giant cell differentiation,6/891,12/17913,1.06E-05,0.000469733,0.000387647,SOCS3/E2F7/MDFI/PLK4/E2F8/LIF,6,0,,
GO:0048545,GO:0048545,GO:0048545,response to steroid hormone,39/891,375/17913,1.13E-05,0.000494305,0.000407924,HTR1B/PTGS2/NR0B1/GJB2/STC1/BMP7/PPARGC1A/TLR2/ZFP36/BMP4/NR4A2/BMP6/NR4A3/UCN/BCL2L11/MDK/IL1RN/SFRP1/PTPRU/GBA/GNRH1/RUNX1/HMGB2/EIF4EBP1/SPARC/LBH/TXNIP/FBXO32/TYMS/GPAM/SPP1/COL1A1/AQP1/BRCA1/ADTRP/PMEPA1/DSG2/OXTR/SDC1,39,0,,
GO:0051052,GO:0051052,GO:0051052,regulation of DNA metabolic process,41/891,403/17913,1.15E-05,0.000500088,0.000412696,MIR221/PPARGC1A/SPIRE2/UCN/FMN2/GMNN/TIMELESS/TNFSF4/TICRR/KPNA2/CDC7/ATAD5/FBXO5/TET1/GLI2/RAD51/IL7R/NEK7/DBF4B/CDT1/RFC3/BLM/BRCA1/AUNIP/PARPBP/E2F7/BRCA2/GLI1/CDC6/NOX4/FOXM1/AURKB/CDK1/POLQ/RAD51AP1/CCNA2/ZNF365/ESCO2/E2F8/NEK2/ANKRD1,41,0,,
GO:0070507,GO:0070507,GO:0070507,regulation of microtubule cytoskeleton organization,23/891,170/17913,1.23E-05,0.000528524,0.000436164,HSPA1A/BORA/CEP85/CENPJ/PSRC1/CCNF/BRCA1/POC1A/MET/CKAP2/STIL/PLK4/NAV3/TACC3/SPAG5/PLK1/KIF11/TPX2/SKA1/AURKA/NEK2/KIF18A/SKA3,23,0,,
GO:0032465,GO:0032465,GO:0032465,regulation of cytokinesis,15/891,83/17913,1.28E-05,0.000546353,0.000450877,RAB11FIP4/INCENP/ECT2/E2F7/RACGAP1/BRCA2/CDC6/KIF23/AURKB/PLK1/E2F8/KIF20B/PRC1/KIF14/KIF20A,15,0,,
GO:0043486,GO:0043486,GO:0043486,histone exchange,12/891,55/17913,1.29E-05,0.000546353,0.000450877,CENPL/ANP32E/CENPO/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,12,0,,
GO:0003012,GO:0003012,GO:0003012,muscle system process,44/891,448/17913,1.35E-05,0.000568139,0.000468855,KLHL41/PTGS2/STC1/KLF15/AGT/MIR17HG/BDKRB2/CACNB2/HMOX1/PPARGC1A/HAND2/TMEM38A/NR4A3/UCN/TMEM38B/EZH2/KCND3/CALD1/KCNMA1/GATA6/ANK2/SULF1/LMCD1/KCNE4/MYLK/F2R/HTR2A/DRD1/SLC8A1/DSP/TPM1/ACTC1/ATP1B1/CNN1/ACTA2/SORBS1/DSG2/TIAM1/OXTR/SORBS2/MYH2/MYOZ1/COMP/MYH1,44,0,,
GO:0033260,GO:0033260,GO:0033260,nuclear DNA replication,11/891,47/17913,1.45E-05,0.00060537,0.000499581,GMNN/PRIM1/CDC7/ATAD5/RAD51/FEN1/POLE2/DBF4B/CDT1/RFC3/BRCA2,11,0,,
GO:0042476,GO:0042476,GO:0042476,odontogenesis,19/891,126/17913,1.47E-05,0.000607363,0.000501226,BMP2/BMP7/FAM20A/HAND2/BMP4/TNFRSF11B/BCL2L11/JAG2/SMPD3/FGFR2/ITGA6/GLI2/COL1A1/AQP1/INHBA/SERPINE1/SDC1/ASPN/KLK4,19,0,,
GO:0048738,GO:0048738,GO:0048738,cardiac muscle tissue development,27/891,221/17913,1.52E-05,0.000621358,0.000512774,DLL4/BMP2/AGT/MIR17HG/BMP7/S1PR1/BMP4/DLL1/FGFR2/PIM1/GATA6/JPH2/TENM4/SLC8A1/DSP/GLI1/TPM1/ACTC1/WNT2/NOX4/NRG1/CDK1/DSG2/CCNB1/SORBS2/ANKRD1/COL11A1,27,0,,
GO:0060601,GO:0060601,GO:0060601,lateral sprouting from an epithelium,6/891,13/17913,1.89E-05,0.000768757,0.000634415,BMP7/BMP4/FGFR2/CELSR1/GLI2/SULF1,6,0,,
GO:0032886,GO:0032886,GO:0032886,regulation of microtubule-based process,25/891,199/17913,1.93E-05,0.000776618,0.000640902,HAP1/HSPA1A/BORA/CEP85/CENPJ/PSRC1/CCNF/BRCA1/POC1A/MET/CKAP2/STIL/PLK4/NAV3/TACC3/SPAG5/DNAH11/PLK1/KIF11/TPX2/SKA1/AURKA/NEK2/KIF18A/SKA3,25,0,,
GO:0031032,GO:0031032,GO:0031032,actomyosin structure organization,22/891,163/17913,1.96E-05,0.000783645,0.000646702,KLHL41/TACSTD2/S1PR1/CAPN3/ARHGAP6/SFRP1/ACTG1/PHACTR1/ECT2/RACGAP1/MET/LIMCH1/TPM1/ACTC1/CNN1/NOX4/KIF23/SORBS1/MYOZ1/ANKRD1/WNT4/ELN,22,1,,
GO:0072006,GO:0072006,GO:0072006,nephron development,20/891,142/17913,2.47E-05,0.000980587,0.000809228,BMP2/KLF15/PGF/AGT/BMP7/TACSTD2/BMP4/DLL1/KIF26B/FGF1/KIRREL3/SULF1/PODXL/POU3F3/COL4A4/TEK/ACTA2/SERPINB7/LIF/WNT4,20,0,,
GO:1902749,GO:1902749,GO:1902749,regulation of cell cycle G2/M phase transition,25/891,202/17913,2.49E-05,0.000980587,0.000809228,CEP152/TICRR/PKIA/CENPJ/CDC7/ATAD5/FBXO5/CEP72/DBF4B/BLM/BRCA1/DTL/PLK4/AURKB/CDK1/PLK1/CENPF/CCNB1/TPX2/CLSPN/AURKA/NEK2/GTSE1/KIF14/HMMR,25,0,,
GO:0060537,GO:0060537,GO:0060537,muscle tissue development,39/891,392/17913,3.10E-05,0.001212218,0.001000381,KLHL41/DLL4/BMP2/AGT/MIR17HG/BMP7/PPARGC1A/S1PR1/BMP4/DLL1/DCN/FGFR2/PIM1/GATA6/HIVEP3/JPH2/KLF5/MYLK/SEMA3C/TENM4/SLC8A1/DSP/GLI1/TPM1/ACTC1/WNT2/NOX4/NRG1/CDK1/SCX/DSG2/EYA2/CENPF/CCNB1/SORBS2/MYOZ1/ANKRD1/COL11A1/ELN,39,0,,
GO:0031023,GO:0031023,GO:0031023,microtubule organizing center organization,18/891,122/17913,3.31E-05,0.001283575,0.001059268,CEP152/CEP85/CENPJ/SASS6/CEP72/CCNF/XRCC2/BRCA1/POC1A/BRCA2/STIL/PLK4/WDR62/CDK1/PLK1/KIF11/AURKA/NEK2,18,0,,
